local,site,transecto,spp.Name,spp.ID,N.pts.per.species,Cov..per.species,MFG
Baixo Silvia,Baixo Silvia 0,T1,Coral ruble,16,8,16,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Macroalgae,45,12,24,Macroalgae
Baixo Silvia,Baixo Silvia 0,T1,Red algae,60,3,6,Red algea
Baixo Silvia,Baixo Silvia 0,T1,Rock,61,1,2,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Sponge,67,8,16,Sponge
Baixo Silvia,Baixo Silvia 0,T1,Turf,74,14,28,Turf algae
Baixo Silvia,Baixo Silvia 0,T1,unidentified octocoral,85,4,8,Octocoral
Baixo Silvia,Baixo Silvia 0,T1,Cladiella kashmani,14,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T1,Didemnum spp,21,1,2,Ascidian 
Baixo Silvia,Baixo Silvia 0,T1,Macroalgae,45,4,8,Macroalgae
Baixo Silvia,Baixo Silvia 0,T1,Red algae,60,5,10,Red algea
Baixo Silvia,Baixo Silvia 0,T1,Sand,62,16,32,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Sponge,67,11,22,Sponge
Baixo Silvia,Baixo Silvia 0,T1,Turf,74,11,22,Turf algae
Baixo Silvia,Baixo Silvia 0,T1,unidentified octocoral,85,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T1,Didemnum spp,21,3,6,Ascidian 
Baixo Silvia,Baixo Silvia 0,T1,Macroalgae,45,11,22,Macroalgae
Baixo Silvia,Baixo Silvia 0,T1,Octocoral branching,51,2,4,Octocoral
Baixo Silvia,Baixo Silvia 0,T1,Red algae,60,1,2,Red algea
Baixo Silvia,Baixo Silvia 0,T1,Sand,62,7,14,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Sinularia sp,66,4,8,Octocoral
Baixo Silvia,Baixo Silvia 0,T1,Sponge,67,18,36,Sponge
Baixo Silvia,Baixo Silvia 0,T1,Turf,74,2,4,Turf algae
Baixo Silvia,Baixo Silvia 0,T1,ascidias nao identificadas,82,1,2,Ascidian 
Baixo Silvia,Baixo Silvia 0,T1,unidentified octocoral,85,1,2,Octocoral
Baixo Silvia,Baixo Silvia 0,T1,Didemnum spp,21,1,2,Ascidian 
Baixo Silvia,Baixo Silvia 0,T1,Macroalgae,45,12,24,Macroalgae
Baixo Silvia,Baixo Silvia 0,T1,Red algae,60,1,2,Red algea
Baixo Silvia,Baixo Silvia 0,T1,Sand,62,13,26,Substrate
Baixo Silvia,Baixo Silvia 0,T1,Sea star,64,1,2,Echinodermata
Baixo Silvia,Baixo Silvia 0,T1,Sponge,67,5,10,Sponge
Baixo Silvia,Baixo Silvia 0,T1,Turf,74,13,26,Turf algae
Baixo Silvia,Baixo Silvia 0,T1,ascidias nao identificadas,82,1,2,Ascidian 
Baixo Silvia,Baixo Silvia 0,T1,unidentified octocoral,85,3,6,Octocoral
Baixo Silvia,Baixo Silvia 0,T1,Astreopora myriophthalma,12,2,4,Coral
Baixo Silvia,Baixo Silvia 0,T1,Clavelina sp,15,1,2,Ascidian 
Baixo Silvia,Baixo Silvia 0,T1,Didemnum spp,21,3,6,Ascidian 
Baixo Silvia,Baixo Silvia 0,T1,Macroalgae,45,20,40,Macroalgae
Baixo Silvia,Baixo Silvia 0,T1,Red algae,60,1,2,Red algea
